Rank,Validator Name,Validator Vote Account,Active Stake (SOL),Percentage of total stake (%),Cumulative Stake (%),Issuance Rewards Commission (%),Jito MEV Commission Rate (%),Issuance Revenue (SOL),Issuance Revenue as % of Total Revenue (%),Jito MEV Revenue (SOL),Jito MEV Revenue as % of Total Revenue (%),Block Rewards Revenue (SOL),Block Rewards Revenue as % of Total Revenue (%),Total Revenue (SOL),Server Cost (SOL),Voting Cost (SOL),Profit(SOL),Profitable
1,Helius,he1iusunGwqrNtafDtLdhsUQDFvo13z9sUa36PauBtk,13356080.98,0.03554,0.036,0,0,0,0,0,0,174465.76,1,174465.76,133.33,365,173967.42,YES
2,Binance Staking,3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g,11506125.17,0.03062,0.066,0.08,0.1,63261.34,0.2758,15821.1,0.069,150300.44,0.6552,229382.88,133.33,365,228884.55,YES
3,Coinbase 02,6D2jqw9hyVCpppZexquxa74Fn33rJzzBx38T58VucHx9,10022736.57,0.02667,0.093,0.08,0.08,55105.59,0.2796,11025.13,0.0559,130923.46,0.6644,197054.18,133.33,365,196555.85,YES
4,Galaxy,CvSb7wdQAFpHuSpTYTJnX5SYH4hCfQ9VuGnqrKaKwycB,8975929.5,0.02389,0.117,0.05,0.25,30843.86,0.1724,30855.1,0.1724,117249.39,0.6552,178948.35,133.33,365,178450.02,YES
5,Ledger by Figment,26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx,8567673.97,0.0228,0.14,0.07,0.07,41217.37,0.2554,8246.48,0.0511,111916.49,0.6935,161380.34,133.33,365,160882.01,YES
6,Figment,CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1,7034083.8,0.01872,0.158,0.07,0.07,33839.58,0.2554,6770.38,0.0511,91883.75,0.6935,132493.7,133.33,365,131995.37,YES
7,Kiln1,DdCNGDpP7qMgoAy6paFzhhak2EeyCZcgjH7ak5u5v28m,6611186.88,0.01759,0.176,0.05,1,22717.93,0.1136,90904.84,0.4546,86359.59,0.4318,199982.36,133.33,365,199484.03,YES
8,SOL Community,3Ty8DYNBkK237zPvACti83EJYGxDcMcoDMCou5r3eV5Q,5948181.69,0.01583,0.192,0.05,0.1,20439.65,0.1923,8178.84,0.0769,77698.99,0.7308,106317.49,133.33,365,105819.15,YES
9,,G9x1mqewTeVnXLmv3FamYD5tq1AdS395RHH3MLQPj6TY,5326708.57,0.01418,0.206,1,1,366081.9,0.7194,73243.06,0.1439,69580.91,0.1367,508905.87,133.33,365,508407.54,YES
10,Everstake,9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF,5319994,0.01416,0.22,0.07,1,25593.43,0.1521,73150.73,0.4348,69493.2,0.4131,168237.36,133.33,365,167739.03,YES
11,,3ZYJxzCeweSoh2Jj7oCgencFs9y27iKmXJeqYapje1cj,5195064.91,0.01383,0.234,1,1,357034.6,0.7194,71432.94,0.1439,67861.29,0.1367,496328.83,133.33,365,495830.5,YES
12,,AZoCYB4VgoM9DR9f1ZFcBn8xPSbtbqoxZnKJR7tkvEoX,5154411.06,0.01372,0.248,1,1,354240.63,0.7194,70873.94,0.1439,67330.25,0.1367,492444.82,133.33,365,491946.49,YES
13,P2P.org,FKsC411dik9ktS6xPADxs4Fk2SCENvAiuccQHLAPndvk,5045252.18,0.01343,0.261,0.07,0.08,24271.7,0.2536,5549.84,0.058,65904.34,0.6885,95725.88,133.33,365,95227.55,YES
14,,H74qox1GASBWd94FWMyy6GVAbRVLf9SAMgbJ1tzSUAst,4857389.82,0.01293,0.274,1,1,333827.63,0.7194,66789.86,0.1439,63450.36,0.1367,464067.85,133.33,365,463569.52,YES
15,Staking Facilities | MEV 🔥,DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a,4744027.89,0.01262,0.287,0.05,0.08,16301.84,0.1953,5218.49,0.0625,61969.56,0.7422,83489.88,133.33,365,82991.55,YES
16,,XzMLju7T6BSSngmsPogeuryd6uswiimkPU87gB2chho,4606743.88,0.01226,0.299,0.08,0.08,25328.14,0.2796,5067.47,0.0559,60176.26,0.6644,90571.88,133.33,365,90073.55,YES
17,Kraken,KRAKEnMdmT4EfM8ykTFH6yLoCd5vNLcQvJwF66Y2dag,4601126.67,0.01224,0.311,1,1,316215.76,0.7194,63266.2,0.1439,60102.89,0.1367,439584.85,133.33,365,439086.52,YES
18,,HimWQUK61d9wxhw7EYu9jUje7xQiDs4jKexaTSvuCmXE,4399704.28,0.01171,0.323,0.08,0.08,24189.83,0.2796,4839.73,0.0559,57471.78,0.6644,86501.34,133.33,365,86003,YES
19,,HZKopZYvv8v6un2H6KUNVQCnK5zM9emKKezvqhTBSpEc,4349998.48,0.01158,0.334,1,1,298956.8,0.7194,59813.15,0.1439,56822.49,0.1367,415592.43,133.33,365,415094.1,YES
20,Jupiter,CatzoSMUkTRidT5DwBxAC2pEtnwMBTpkCepHkFgZDiqb,4087989.79,0.01088,0.345,0,0,0,0,0,0,53399.96,1,53399.96,133.33,365,52901.63,YES
21,private,8Pep3GmYiijRALqrMKpez92cxvF4YPTzoZg83uXh14pW,3711230.43,0.00988,0.355,0,1,0,0,51029.99,0.5128,48478.49,0.4872,99508.48,133.33,365,99010.14,YES
22,,55L7AV93xRmx5F7rX1GCfsHxfYWNu4bKsG6f8tG6dFRo,3606580.77,0.0096,0.365,0.08,0.08,19829.19,0.2796,3967.28,0.0559,47111.49,0.6644,70907.96,133.33,365,70409.63,YES
23,,iZADA4YKVRJZJaDUV3j79DzyK4VJkK3DGTfvvqvbC1K,3598006.05,0.00958,0.374,1,0,247275.57,0.8403,0,0,46999.48,0.1597,294275.05,133.33,365,293776.72,YES
24,,6jzDwKeR21EFHwaRgZMefMxJ9D2vnQRqfYxkpUuJppPh,3391067.92,0.00902,0.383,1,1,233053.6,0.7194,46627.7,0.1439,44296.32,0.1367,323977.62,133.33,365,323479.29,YES
25,Twinstake,Ak5BJzQe2R8qFuyYmaAFPjXuD7XPux3ZNTv52D7rfiqR,3347940.8,0.00891,0.392,0.1,0.1,23008.97,0.3225,4603.47,0.0645,43732.97,0.613,71345.4,133.33,365,70847.07,YES
26,Luganodes,6aow5rTURdbhbeMDrFrbP2GR5vZjMEhktEy87iH1VGPs,3166032.83,0.00843,0.401,0.1,0.08,21758.79,0.3267,3482.68,0.0523,41356.77,0.621,66598.23,133.33,365,66099.9,YES
27,,6x9uLhegx488uA3dPoq8DWHS488K4FsEqeeMXeW7kQPx,3076617.87,0.00819,0.409,0.08,0.08,16915.42,0.2796,3384.32,0.0559,40188.77,0.6644,60488.51,133.33,365,59990.18,YES
28,,7xENfwKCajMB5aVTgmTB6h7d7Su91wTcnfMjoAQCMvKq,2916667.66,0.00776,0.417,1,1,200450.1,0.7194,40104.63,0.1439,38099.4,0.1367,278654.12,133.33,365,278155.79,YES
29,Coinbase 03,GqcuMuWq4gKeCuCrD8iAjXTozCET2EP6qJXmZDFsSTWK,2650649.4,0.00705,0.424,0.08,0.08,14573.42,0.2796,2915.75,0.0559,34624.49,0.6644,52113.67,133.33,365,51615.33,YES
30,Upbit Staking,GHViLgbrJdZDPb6sphRbeuPNM9cmjsFuGWzrTF1sKF5n,2547488.37,0.00678,0.43,1,0,175077.98,0.8403,0,0,33276.94,0.1597,208354.92,133.33,365,207856.59,YES
31,,BkSS8kGUNcQkTgEKMmBhHxGVLdzw43EAzDYpZqyyxFrT,2536560.18,0.00675,0.437,1,1,174326.94,0.7194,34878.09,0.1439,33134.19,0.1367,242339.22,133.33,365,241840.88,YES
32,Shinobi Systems 🚀 stakeview.app,BLADE1qNA1uNjRgER6DtUFf7FU3c1TWLLdpPeEcKatZ2,2506783.82,0.00667,0.444,0,1,0,0,34468.66,0.5128,32745.23,0.4872,67213.89,133.33,365,66715.56,YES
33,,At2rZHk554qWrjcmdNkCQGp8i4hdKLf52EXMrDmng5ab,2502415.69,0.00666,0.45,1,1,171980.33,0.7194,34408.6,0.1439,32688.17,0.1367,239077.1,133.33,365,238578.77,YES
34,,72LbWsZFEyB7xrB9ggeoPUrSw2vzPEnsPJJHZo1svkM7,2502415.68,0.00666,0.457,1,1,171980.33,0.7194,34408.6,0.1439,32688.17,0.1367,239077.1,133.33,365,238578.77,YES
35,,oixpqSNX7CKWHw93ViA8u1CcLzZXDmacKJjV4AvxMZE,2502395.55,0.00666,0.464,1,1,171978.95,0.7194,34408.32,0.1439,32687.91,0.1367,239075.18,133.33,365,238576.84,YES
36,,2uXzxR2EZVaHE3CuaDaUJ8C9Qr54LMfwkY5BtRPAzbPE,2502391.14,0.00666,0.47,1,1,171978.64,0.7194,34408.26,0.1439,32687.85,0.1367,239074.76,133.33,365,238576.42,YES
37,,8mHUDJjzPo2AwJp8SHKmG9rk9ftWTp7UysqYz36cMpJe,2502383.45,0.00666,0.477,1,1,171978.12,0.7194,34408.16,0.1439,32687.75,0.1367,239074.02,133.33,365,238575.69,YES
38,,BhREyEsP3YAtQbTCrKcXgTNTeaq9gdjWji3Nz4d8Q1P2,2500000.94,0.00665,0.484,1,1,171814.38,0.7194,34375.4,0.1439,32656.63,0.1367,238846.4,133.33,365,238348.07,YES
39,,HDc84gs3CtqhebHycmoDpc5n2y3CFfd5GqYZkr2XiBMR,2500000.94,0.00665,0.49,1,1,171814.38,0.7194,34375.4,0.1439,32656.63,0.1367,238846.4,133.33,365,238348.07,YES
40,,JDMq8hxZnad2smKLGkFbfg8zVMZHKQcMugD4tMR9u2da,2499999.99,0.00665,0.497,1,1,171814.31,0.7194,34375.38,0.1439,32656.61,0.1367,238846.31,133.33,365,238347.98,YES
41,,BU3ZgGBXFJwNTrN6VUJ88k9SJ71SyWfBJTabYqRErm4F,2499999.94,0.00665,0.504,1,1,171814.31,0.7194,34375.38,0.1439,32656.61,0.1367,238846.3,133.33,365,238347.97,YES
42,,33hurzEz6aEnzfESL6pnNyR6DCgcKzssT1pwSzDCBTRQ,2499999.94,0.00665,0.51,1,1,171814.31,0.7194,34375.38,0.1439,32656.61,0.1367,238846.3,133.33,365,238347.97,YES
43,🔥💃 Asymmetric Research,CertusDeBmqN8ZawdkxK5kFGMwBXdudvWHYwtNgNhvLu,2461168.15,0.00655,0.517,0.05,0.3,8457.28,0.1666,10152.43,0.2,32149.37,0.6334,50759.08,133.33,365,50260.74,YES
44,0% Fee >> #1 🥇 | melea One,GvZEwtCHZ7YtCkQCaLRVEXsyVvQkRDhJhQgB6akPme1e,2454087.72,0.00653,0.523,0,1,0,0,33744.08,0.5128,32056.88,0.4872,65800.96,133.33,365,65302.63,YES
45,Block Logic +MEV +Triton,9GJmEHGom9eWo4np4L5vC6b6ri1Df2xN8KFoWixvD1Bs,2452020.97,0.00653,0.53,0.02,0.02,3370.34,0.0934,674.31,0.0187,32029.88,0.8879,36074.53,133.33,365,35576.2,YES
46,,E9W5kU2fnha9yp4RmFZgNNsRUvy6oKnB9ZyR9LC81WaE,2409417.94,0.00641,0.536,1,1,165588.99,0.7194,33129.87,0.1439,31473.37,0.1367,230192.23,133.33,365,229693.9,YES
47,,HxYHGzR58gyf6c4JAX85eK8GVuaZU2zne4be82Lq9SBQ,2322628.99,0.00618,0.543,1,1,159624.36,0.7194,31936.51,0.1439,30339.68,0.1367,221900.55,133.33,365,221402.21,YES
48,Temporal Emerald,Haz7b47sZBpxh9SwggGndN3fAyNQ1S949BPdxWXS3ab6,2217764.83,0.0059,0.548,0,0,0,0,0,0,28969.88,1,28969.88,133.33,365,28471.54,YES
49,,CxFH1pqJnEmyaE4wEwqdqMKpQMpkmdaMxhS7SzpHokA8,2182665.92,0.00581,0.554,1,1,150005.3,0.7194,30011.99,0.1439,28511.39,0.1367,208528.68,133.33,365,208030.35,YES
50,,86dGbSrKhZHgKLWZc1hAyzQkk2asXGCFsoRsu1Ccfzd6,2112910.2,0.00562,0.56,0.08,0.08,11616.9,0.2796,2324.23,0.0559,27600.2,0.6644,41541.33,133.33,365,41042.99,YES
51,,FjkSLYmi6BJAJQn1iSLUGrPrBQjMaD4y1DVdnv3yaTsX,2083334.28,0.00554,0.565,1,1,143178.66,0.7194,28646.17,0.1439,27213.86,0.1367,199038.68,133.33,365,198540.35,YES
52,,ERut3CwqVeoa616QBaoHc5jL52RpkXjZZZ7MeaMaCtLi,2053416.58,0.00546,0.571,0.08,0.08,11289.8,0.2796,2258.78,0.0559,26823.05,0.6644,40371.64,133.33,365,39873.31,YES
53,Valigator | Private,8wTSPukwTAzNzEYyUdc8UiKkTg1hNtZ1xLum7o1Ne6wr,2005488.25,0.00534,0.576,1,1,137828.63,0.7194,27575.77,0.1439,26196.98,0.1367,191601.39,133.33,365,191103.05,YES
54,Haus – Guaranteed Best APY & No Fees,HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH,1961161.7,0.00522,0.581,0,0,0,0,0,0,25617.96,1,25617.96,133.33,365,25119.63,YES
55,,9Diao4uo6NpeMud7t5wvGnJ3WxDM7iaYxkGtJM36T4dy,1942351.66,0.00517,0.587,0.01,1,1334.9,0.025,26707.63,0.5,25372.25,0.475,53414.78,133.33,365,52916.45,YES
56,,8BMMDVM8Tb88a2Hx1VSZ1TKmH1rMHbVU7xVafMk9JrEW,1875000.95,0.00499,0.592,1,0,128860.8,0.8403,0,0,24492.47,0.1597,153353.27,133.33,365,152854.94,YES
57,,HhYEE3dAShc3772wEiy73XDYnLjVxyBL8eAWKyRcF14y,1835664.8,0.00489,0.597,1,0,126157.39,0.8403,0,0,23978.64,0.1597,150136.03,133.33,365,149637.7,YES
58,Solflare,EXhYxF25PJEHb3v5G1HY8Jn8Jm7bRjJtaxEghGrUuhQw,1821009.68,0.00485,0.601,0.06,1,7509.01,0.1333,25039.16,0.4445,23787.2,0.4222,56335.38,133.33,365,55837.05,YES
59,OKX Earn,2tucttroqFNXsrYeMBQ8LfzKNfgwT2rHBzAF6RzbbHEp,1734291.7,0.00462,0.606,0.05,0.08,5959.52,0.1953,1907.74,0.0625,22654.44,0.7422,30521.7,133.33,365,30023.37,YES
60,Solana Compass 🧭 Solana For The People,EARNynHRWg6GfyJCmrrizcZxARB3HVzcaasvNa8kBS72,1718079.24,0.00457,0.611,0,0.1,0,0,2362.39,0.0952,22442.66,0.9048,24805.05,133.33,365,24306.71,YES
61,Coinbase,beefKGBWeSpHzYBHZXwp5So7wdQGX6mu4ZHCsH3uTar,1717754.06,0.00457,0.615,0.08,0.08,9444.31,0.2796,1889.55,0.0559,22438.41,0.6644,33772.28,133.33,365,33273.94,YES
62,,A9V5e8ZLwQ2ArKZnCcrmz9Q92pDCkUXE5tqJmJDZkCMo,1623609.76,0.00432,0.619,0.08,0.08,8926.7,0.2796,1785.99,0.0559,21208.64,0.6644,31921.33,133.33,365,31423,YES
63,,74pfDmYto6aAqCzFH1mNJ8NxF7A4LQ4cXkipGwgjY39u,1566399.78,0.00417,0.624,1,0,107651.96,0.8403,0,0,20461.33,0.1597,128113.29,133.33,365,127614.95,YES
64,AG 0% fee + ALL MEV profit share,F5b1wSUtpaYDnpjLQonCZC7iyFvizLcNqTactZbwSEXK,1531166.24,0.00407,0.628,0,0,0,0,0,0,20001.08,1,20001.08,133.33,365,19502.75,YES
65,StakeWolf,DQ7D6ZRtKbBSxCcAunEkoTzQhCBKLPdzTjPRRnM6wo1f,1406684.1,0.00374,0.631,0.07,1,6767.28,0.1521,19342.12,0.4348,18375.02,0.4131,44484.42,133.33,365,43986.08,YES
66,,FuvD3qqrVjuh355sBs1u8bUS3aU8NgknymLskPvtAc6N,1335663.29,0.00355,0.635,1,0.08,91794.43,0.8291,1469.25,0.0133,17447.3,0.1576,110710.97,133.33,365,110212.64,YES
67,,7jPqpHuN5v59dtBom2tjmYEfi6WaM4sFtJeTD6fzhcdS,1293273.39,0.00344,0.638,1,1,88881.15,0.7194,17782.71,0.1439,16893.57,0.1367,123557.43,133.33,365,123059.1,YES
68,Alpha,5sMmkL4BXjU6vZXQxE3RquH2CR8v8Zbfi1EAAFxLfxMx,1289612.19,0.00343,0.642,0,0,0,0,0,0,16845.75,1,16845.75,133.33,365,16347.41,YES
69,Laine ❤️ stakewiz.com,GE6atKoWiQ2pt3zL7N13pjNHjdLVys8LinG8qeJLcAiL,1256939.02,0.00334,0.645,0.05,0.05,4319.2,0.1999,864.16,0.04,16418.95,0.7601,21602.31,133.33,365,21103.97,YES
70,,FsT844wGgZg7MLR9Uc9T9qHQxmSoFVanhfgAEQvS966r,1218576.84,0.00324,0.648,0.05,0.05,4187.38,0.1999,837.78,0.04,15917.84,0.7601,20943,133.33,365,20444.66,YES
71,Overclock,AS3nKBQfKs8fJ8ncyHrdvo4FDT6S8HMRhD75JjCcyr1t,1214445.48,0.00323,0.652,0,0,0,0,0,0,15863.87,1,15863.87,133.33,365,15365.54,YES
72,PoH PoS,7KVnUL45FH4N8Z7x1dnvJ7GzMx12cs81mS26mHzNjQPN,1213284.71,0.00323,0.655,0,0,0,0,0,0,15848.71,1,15848.71,133.33,365,15350.38,YES
73,,AzbQjKoLepbDS8C6hgkRY7UCRwbwZZ9HqdtnWyef9WjX,1207979.32,0.00321,0.658,1,0,83019.25,0.8403,0,0,15779.41,0.1597,98798.66,133.33,365,98300.33,YES
74,,GRt2mJZKpK9WXph5HGg4pdgewCYLKitRRSiTkrtHLXV8,1192153.35,0.00317,0.661,1,0.5,81931.6,0.7751,8196.15,0.0775,15572.68,0.1473,105700.43,133.33,365,105202.09,YES
75,Allnodes ⚡️ 0% fee,6F5xdRXh2W3B2vhte12VG79JVUkUSLYrHydGX1SAadfZ,1189704.42,0.00317,0.664,0,1,0,0,16358.62,0.5128,15540.69,0.4872,31899.31,133.33,365,31400.97,YES
76,,2LrSZWeyvFovnzVFpFPQE7Lxt64xs3s3Re9HLxMJtGwf,1188268.56,0.00316,0.668,0.1,0.1,8166.46,0.3225,1633.89,0.0645,15521.93,0.613,25322.28,133.33,365,24823.95,YES
77,Quatro,5orRi4tMEGneZ9U2y381JnBEnsqFJDBSNQLhBn98Bkcv,1167392.11,0.00311,0.671,0,0,0,0,0,0,15249.23,1,15249.23,133.33,365,14750.9,YES
78,Rocket,7S9dHgoeMYvtShTjEC3x5D3THRDQz123WVGPseZsm3hm,1159120.39,0.00308,0.674,0,0,0,0,0,0,15141.18,1,15141.18,133.33,365,14642.85,YES
79,,HM5H6FAYWEMcm9PCXFbbiUFfFVLTN9UGy9AqmMQjdMRA,1150367.65,0.00306,0.677,0,0,0,0,0,0,15026.85,1,15026.85,133.33,365,14528.51,YES
80,Blockdaemon 🧱👿 Validator,FQwewNXahV7MiZcLpY6p1xhUs2acVGQ3U5Xxc7FzV571,1149016.97,0.00306,0.68,0.08,0.08,6317.36,0.2796,1263.93,0.0559,15009.2,0.6644,22590.5,133.33,365,22092.16,YES
81,Staked,51JBzSTU5rAM8gLAVQKgp4WoZerQcSqWC7BitBzgUNAm,1138606.3,0.00303,0.683,0.1,0.1,7825.15,0.3225,1565.6,0.0645,14873.21,0.613,24263.97,133.33,365,23765.63,YES
82,,Bkskrv38Kn7zJR5mvmbCDGn2M4Jyhzt2ZqwQXV6rYnXa,1136599.93,0.00302,0.686,1,1,78113.65,0.7194,15628.42,0.1439,14847,0.1367,108589.08,133.33,365,108090.75,YES
83,Hamsa,8uEgdseqbUrDLfmHbUpTHoH1LLRxeViYDk7K6NdXKRYM,1119897.54,0.00298,0.689,0,0,0,0,0,0,14628.83,1,14628.83,133.33,365,14130.49,YES
84,Chorus One,Chorus6Kis8tFHA7AowrPMcRJk3LbApHTYpgSNXzY5KE,991377.86,0.00264,0.692,0.08,0.5,5450.65,0.2162,6815.8,0.2703,12950.02,0.5136,25216.47,133.33,365,24718.14,YES
85,Pumpkin's Pool ❤️  🐈,DsiG71AvUHUEo9rMMHqM9NAWQ6ptguRAHyot6wGzLJjx,922867.53,0.00246,0.694,0,0,0,0,0,0,12055.09,1,12055.09,133.33,365,11556.76,YES
86,Flash,3tUZu4CkwMLwYdosoGc85n48VgDMyxZVkL1VUJc7DrxW,917331.78,0.00244,0.696,0,0,0,0,0,0,11982.78,1,11982.78,133.33,365,11484.45,YES
87,Bybit Staking,8hPk5CbKDoM7dN9LssTdVkFhDykeq7A8CZurA5AQSFJH,874468.8,0.00233,0.699,0.05,0.05,3004.93,0.1999,601.2,0.04,11422.88,0.7601,15029.01,133.33,365,14530.67,YES
88,Solayer Validator [0% Commission + 100% MEV Kickback],SLaYv7tCwetrFGbPCRnqpHswG5qqKino78EYpbGF7xY,866963.69,0.00231,0.701,0,0,0,0,0,0,11324.84,1,11324.84,133.33,365,10826.51,YES
89,mrgn3,mrgn6ETrBDM8mjjYN8rbVwFqVwF8z6rtmvGLbdGuVUU,808253.23,0.00215,0.703,0,0,0,0,0,0,10557.93,1,10557.93,133.33,365,10059.59,YES
90,,J21SMPFJEY9ExCDPiSJQXN23PVSeoQe3LnKD7QcP3bgP,779460.44,0.00207,0.705,0.03,0.03,1607.07,0.1327,321.53,0.0265,10181.82,0.8407,12110.42,133.33,365,11612.08,YES
91,AiDoL,AiDoLYTz5CVN3ZLzqDWRtaGUaHGzDnWMeC6KCNYJPqFX,778873.98,0.00207,0.707,0,0,0,0,0,0,10174.16,1,10174.16,133.33,365,9675.82,YES
92,Alpha Pro | High APY🚀 100% Reliable ⭐ VIP Services,7opSZGmevWhRDyLt5Wu38FZFjUyredGmMki4DNmxDnjd,761683.19,0.00203,0.709,0.05,1,2617.36,0.1136,10473.26,0.4546,9949.6,0.4318,23040.22,133.33,365,22541.89,YES
93,Step Finance,StepeLdhJ2znRjHcZdjwMWsC4nTRURNKQY8Nca82LJp,749103.34,0.00199,0.711,0.07,1,3603.79,0.1521,10300.29,0.4348,9785.27,0.4131,23689.34,133.33,365,23191.01,YES
94,,A3ahHFBFkPkuLMhxLGEnKVVZu2J6Qy8Z7z2zozyXGhw2,743880.4,0.00198,0.713,1,0.02,51123.72,0.8375,204.57,0.0034,9717.05,0.1592,61045.34,133.33,365,60547,YES
95,LowFeeValidation + MEV TOP PERFORMANCE,edu1fZt5i82cFm6ujUoyXLMdujWxZyWYC8fkydWHRNT,675698.17,0.0018,0.715,0.05,0.08,2321.89,0.1953,743.28,0.0625,8826.41,0.7422,11891.57,133.33,365,11393.24,YES
96,Bella2.0,8zHJtME22tiY3UsSHtDJXo2J8hUfwikBxXNbVqQzA92r,669929.93,0.00178,0.717,1,1,46041.42,0.7194,9211.64,0.1439,8751.06,0.1367,64004.12,133.33,365,63505.78,YES
97,Leapfrog 🐸 No Fees,Pond1QyT1sQtiru3fi9G5LGaLRGeUpJKR1a2gdbq2u4,669301.43,0.00178,0.719,0,0,0,0,0,0,8742.85,1,8742.85,133.33,365,8244.51,YES
98,Drift,DriFTm3wM9ugxhCA1K3wVQMSdC4Dv4LNmyZMmZiuHRpp,663434.44,0.00177,0.721,0,0,0,0,0,0,8666.21,1,8666.21,133.33,365,8167.88,YES
99,RockawayX Infra,RBFvvcGPBpgkBYmJGsphoDQJD8sszSuorM7TorWm12Y,655483.37,0.00174,0.722,0.06,0.08,2702.91,0.2255,721.04,0.0602,8562.35,0.7143,11986.3,133.33,365,11487.97,YES
100,GREED Academy - funding education,GREEDkpTvpKzcGvBu9qd36yk6BfjTWPShB67gLWuixMv,629179.89,0.00167,0.724,0,0,0,0,0,0,8218.75,1,8218.75,133.33,365,7720.42,YES
101,,8tjRQLzor4dP4qd1e7pVDdQmsdwdVv4kSeCVEHwWEiQW,614033.38,0.00163,0.726,0.03,0.08,1266,0.1271,675.44,0.0678,8020.9,0.8051,9962.34,133.33,365,9464.01,YES
102,Bitcoin Suisse,EcLPNfLFgCkbcTuvdeQ85pnQMgAfBDqi2dkoNVPrSyr5,606244.55,0.00161,0.727,1,1,41664.6,0.7194,8335.96,0.1439,7919.16,0.1367,57919.71,133.33,365,57421.38,YES
103,Cogent Crypto ⚙️ CogentCrypto.io,CogentC52e7kktFfWHwsqSmr8LiS1yAtfqhHcftCPcBJ,600230.79,0.0016,0.729,0,0.5,0,0,4126.63,0.3448,7840.6,0.6552,11967.24,133.33,365,11468.9,YES
104,diman,voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd,598506.31,0.00159,0.73,0,0,0,0,0,0,7818.08,1,7818.08,133.33,365,7319.74,YES
105,Orangefin Ventures,oRAnGeU5h8h2UkvbfnE5cjXnnAa4rBoaxmS4kbFymSe,581841.6,0.00155,0.732,0,0.06,0,0,480.02,0.0594,7600.39,0.9406,8080.42,133.33,365,7582.08,YES
106,,ALiQdX94fYbGUt8ar6chuAN1nj8g8bKSgJ7qV3W7bPsS,570570.65,0.00152,0.733,1,0.02,39212.88,0.8375,156.91,0.0034,7453.16,0.1592,46822.95,133.33,365,46324.62,YES
107,Jito2,J1to2NAwajc8hD6E6kujdQiPn1Bbt2mGKKZLY9kSQKdB,567355.29,0.00151,0.735,0.04,0.08,1559.68,0.1626,624.1,0.065,7411.16,0.7724,9594.94,133.33,365,9096.6,YES
108,validator.com,Va1idkzkB6LEmVFmxWbWU8Ao9qehC62Tjmf68L3uYKj,560363.87,0.00149,0.736,0.05,0.08,1925.57,0.1953,616.41,0.0625,7319.83,0.7422,9861.81,133.33,365,9363.48,YES
109,Unit 410,EwsDhgfbT6H4FRC7AHdhXNBxfBSbWCbDfknrw6g5Dph6,551441.87,0.00147,0.738,0.2,0.2,7579.65,0.465,1516.48,0.093,7203.29,0.4419,16299.42,133.33,365,15801.09,YES
110,RockawayX Firedancer,RNXpSdqrJL6eoLrbW69Q9qsFviEwRpfFfk3HiRRRohq,544120.79,0.00145,0.739,0.05,0,1869.75,0.2083,0,0,7107.66,0.7917,8977.41,133.33,365,8479.08,YES
111,Mad Validator,B6nDYYLc2iwYqY3zdmavMmU9GjUL2hf79MkufviM2bXv,535281.87,0.00142,0.741,0,0,0,0,0,0,6992.2,1,6992.2,133.33,365,6493.86,YES
112,Watchtower,9jYFwBfbjYmvasFbJyES9apLJDTkwtbgSDRWanHEvcRw,515130.77,0.00137,0.742,0.05,0.05,1770.14,0.1999,354.16,0.04,6728.97,0.7601,8853.26,133.33,365,8354.93,YES
113,,H43AYFsvhNuALQieHpLXefp1ECgEBT6oVnS4EcTsC25C,510894.26,0.00136,0.744,0.01,1,351.12,0.025,7024.87,0.5,6673.63,0.475,14049.62,133.33,365,13551.29,YES
114,Frankendancer-DoubleZero1,DLKjd8DJc9NajCaHPeQL6BnhPi3a4BZm7zCdVF3MzDRZ,510680.9,0.00136,0.745,0.01,0,350.97,0.05,0,0,6670.84,0.95,7021.81,133.33,365,6523.48,YES
115,Agave-DoubleZero3,8r4Fu6M8brgnL456RJfwxk8kN4iw1LgczfuXeuG1g4px,510056.02,0.00136,0.746,0.01,0,350.54,0.05,0,0,6662.68,0.95,7013.22,133.33,365,6514.89,YES
116,P2P.org Palidator,xBLpiTwufjcuFCjbk4aCmFy7HUY5D9xy8L1EX2rBwmC,509308.72,0.00136,0.748,0.07,0.08,2450.18,0.2536,560.25,0.058,6652.92,0.6885,9663.35,133.33,365,9165.01,YES
117,Chainflow,CAf8jfgqhia5VNrEF4A7Y9VLD3numMq9DVSceq7cPhNY,504465.31,0.00134,0.749,0.05,0,1733.49,0.2083,0,0,6589.65,0.7917,8323.14,133.33,365,7824.81,YES
118,stakefish 🐟,7VGU4ZwR1e1AFekqbqv2gvjeg47e1PwMPm4BfLt6rxNk,498750.8,0.00133,0.75,0.05,0.1,1713.85,0.1923,685.79,0.0769,6515.01,0.7308,8914.65,133.33,365,8416.31,YES
